OW modelling,,IW modelling,,Experiment,
X,Y,X,Y,X,Y
540.7458534473668,0.10007606250676027,540.6430753399269,0.0911066974888699,540.4507904339982,0.27870736483177494
541.870380061693,0.10530968835724863,541.8698785079516,0.09754187478761711,541.5751808783514,0.28183205822361534
542.9949443689545,0.11112708354167555,543.1697295656697,0.10473011945706223,542.6995815099842,0.2851145271111153
544.2072634081145,0.11935453989854605,544.3235357804,0.11120110686340823,543.8240738271352,0.28981697545954976
545.2441923444388,0.12461047680133963,545.3913641835508,0.1176581726646917,544.9485406760867,0.29412498506883566
546.3688508840384,0.13188729532061694,546.5728209394556,0.12526038068222922,546.0730304464178,0.29878798954335517
547.4935411739931,0.13965584746803228,547.6974609721634,0.13225057371772508,547.1975813404275,0.30439764699183114
548.6183044727863,0.14855512400100646,548.8221875967495,0.14058185846632565,548.3222621222544,0.3120189420099644
549.7429896691012,0.15624478840059197,549.9468785658562,0.1483609289801182,549.4469530913613,0.31979801252375706
550.7655372360293,0.16488449162976226,551.0716459395613,0.15732331571135627,550.5717673265534,0.3294861665350285
551.9924300143855,0.17270750893662468,552.1963691683875,0.1656020086280705,551.6966314794165,0.3399474204750309
553.1173491785594,0.18402075055318778,553.3211460502204,0.17471165248859077,552.8215574351102,0.3513658457553668
554.2422610418495,0.19522091973119515,554.4458232664995,0.182277726083243,553.9464681098843,0.36254760779221384
555.3670671272179,0.20478285334593915,555.5704403778277,0.18891292425350514,555.0713298857155,0.37297204744989576
556.4919154897973,0.21499955526766934,556.6950396614164,0.1952720153063633,556.196031042102,0.38090889345934786
557.6167949235801,0.22569747245116079,557.8195829149663,0.20076334113309469,557.3205641083722,0.38624244379041983
558.7416302124838,0.2357116958201284,558.9440752321174,0.20546578948152905,558.4448781481269,0.38818382096481474
559.8664773865472,0.2459099906006983,560.06848605103,0.2089060338646883,559.5689731613663,0.3867330249825327
560.9913007902911,0.2557401425580632,561.1928510271837,0.21163628851738037,560.6929713954477,0.3837833617914863
562.1160528830766,0.26446586604581224,562.3170988496198,0.2125521249699891,561.816979816809,0.38099147409609946
563.2407829034225,0.27284974262629935,563.4412855483773,0.2125213084486416,562.9412327328849,0.3819861982965379
564.3654551958497,0.28033955806471633,564.5654213107358,0.21170161444899704,564.0656639263573,0.385741993671016
565.4900544794384,0.28669864911757437,565.6894450130167,0.20914638999709922,565.1902750951057,0.39228515613547665
566.6146622524269,0.29318921975014867,566.8134738089375,0.2066700532930309,566.3150203963713,0.4009056959594528
567.7391358928983,0.29760241302320756,567.9374414811796,0.20324706361500644,567.4397246089418,0.40888987461760273
568.8634855881322,0.30009600443241047,569.0613378424631,0.1987196454673661,568.5644227091444,0.4167793879783569
569.9878607515657,0.30298403458076184,570.1852087355472,0.1937977885805774,569.6889659626943,0.4222707138050883
571.1121442294811,0.30445208526817846,571.3090388795123,0.18824482971115086,570.8133937604066,0.42597391734767986
572.2365041119949,0.3071034521730408,572.432879210757,0.18284964633738376,571.9378130687192,0.4295456413105553
573.3608538072289,0.3095970435822436,573.5566533246832,0.1764289222418307,573.0622646367509,0.43361698767635204
574.4852340643022,0.3125639614784247,574.6804625847246,0.17055252360630246,574.1868775033794,0.44018644605675594
575.6097060068936,0.3169508588355402,575.804273882222,0.16470768006990621,575.311808213137,0.45167849990173314
576.7342085113244,0.321811082679634,576.9281182883786,0.159375606894403,576.385890847689,0.4670642759755981
577.8588740122317,0.3291957144542781,578.0519637132634,0.1540593112684655,577.3579805197732,0.48564061978814854
578.983727977815,0.3394991928986213,579.175854980907,0.14945300537299555,578.176782873712,0.5043894847593763
580.1089062384714,0.35482519128812173,580.2997869976699,0.1454778014601631,578.8933368102488,0.5223725591751182
581.234266172284,0.3729648526835482,581.4238106999508,0.14292257700826516,579.7123029853487,0.5436586043789257
582.104097718327,0.3906250433888766,582.5479770241486,0.1425762094955989,580.6334160715793,0.564138361760305
582.798763475733,0.4087877807921716,583.6721790038257,0.14278205621774043,581.554515520869,0.584406917023156
583.2816567643904,0.42579516878976453,584.7965592608991,0.14574897411392151,582.4025479456278,0.6036260541165838
583.7938236138501,0.4439463800136465,585.9209853607315,0.1494258817405698,583.0517150881029,0.6237390704363708
584.340228552361,0.4647578040970033,587.0453961796442,0.15286612612372907,583.6136808135043,0.6437305104655893
584.7673338653129,0.4845239469510545,588.1700245697465,0.15967600430704254,584.0636459542849,0.6658034426045143
585.216008408623,0.5085921754050795,589.2951210896105,0.17373604217184746,584.4373979801494,0.6883497094797895
585.5539045614437,0.5316872029401478,590.4206227964,0.19407141254853377,584.8586768360889,0.7120932763763226
585.9327868877639,0.5583172565060275,591.554574898934,0.2133817391870485,585.1752188738789,0.734217816947439
586.3352652421598,0.5860940437474342,592.1719828665382,0.23468134443844402,585.434556576625,0.7560081825273901
586.7007118319822,0.6181913962183325,592.6616418268507,0.25597641670406057,585.7059514101044,0.7761040062965769
587.0097361727192,0.6557861515113336,593.0945031368176,0.27695486477673115,585.8603720647428,0.7934840340737372
587.4896191363706,0.7015428725958701,594.4134889055586,0.30412889381702146,586.1172866017151,0.8154314905398907
587.2836545813594,0.6772799747757419,595.6934054375987,0.34175400932612976,586.344916638687,0.8360657029498925
587.7467148371351,0.7262961032931665,595.2901443524541,0.3144166365524119,586.5928695711656,0.8605423253520026
587.901207708268,0.7447945840284457,596.2284393910103,0.37488665572750046,586.8370764953349,0.8835314502772508
588.1656927928497,0.7709332841700216,596.4125681060617,0.40013981944879384,586.991562518352,0.9019238708182254
588.5178170403004,0.7976921701388378,596.153975469427,0.35220279446014613,587.3125404009529,0.9267982839838436
589.2345356388532,0.8182254475264839,596.6182123560176,0.41944199272623117,587.5056765450654,0.950231989757691
589.9190808189021,0.7927033555365095,596.8752800417626,0.44376134081046437,587.8904832475611,0.9744011423191292
590.2020688010315,0.7662328441710304,597.0684837554339,0.4682415301248669,588.6716704438157,0.988918423911097
590.3280700861496,0.7391695299922207,597.3079111305257,0.4963477174086057,589.2582785497162,0.9598285546662302
590.5272548730594,0.7149595755560892,597.51442403285,0.5291031442417605,589.5598562314851,0.9323410069362993
590.7593136843849,0.6911268183428607,597.7335463086424,0.5461053661363701,589.6150178046972,0.9073188865263461
590.8601613508165,0.6701984782451794,598.142291200431,0.5782907188414926,589.8774975252746,0.8835565762477813
590.9753591106173,0.6454019843536275,598.0946238894859,0.5607855197908665,590.0205819023101,0.857266552478611
591.1637020850167,0.6228658773002341,598.8743571199159,0.5397393965473076,590.1553476343701,0.8340420624805964
591.3319204430501,0.5901367407470044,598.7741081744705,0.569940427918457,590.3172590901605,0.8091552157046291
591.5446126063847,0.556254336687696,599.025747083074,0.5101815900217391,590.5271214682051,0.7882652094918361
591.7027157275741,0.5292046053037123,599.0924521783302,0.48807237016436067,590.7636055853579,0.7575976346641649
591.8202620798353,0.5030960663321369,599.2786493356477,0.4699887918664969,590.9657059353589,0.7220136573890894
591.9380885822904,0.4813263534911951,599.4049153626993,0.4470256683811358,592.3806325055205,0.4763968773680676
592.0731351701079,0.4624516170377725,599.5603617005602,0.42376215885286694,592.8880965670559,0.4217136606123829
592.2149185607699,0.44239267637568325,599.7000886109246,0.402002176228487,593.2332528121558,0.3857786551441398
592.3188313727089,0.42371273235434204,599.8461807115714,0.37832742261300567,593.6198264619468,0.35817307524593645
592.5543396333526,0.3967745152425478,600.0578684237693,0.3505337996789841,594.2523383641065,0.3408004014113706
592.8337100760474,0.3708061680972544,600.2627951779504,0.32355027772280986,595.146179169868,0.34590811976035263
593.0875857393748,0.3456890689895621,600.4300759716085,0.29828403754652544,595.5415111151548,0.3635005514114371
593.2289721171904,0.319481391868061,600.7223426615703,0.2741954982034305,595.9517630593484,0.3860512412829683
593.4640346722157,0.29694607023574726,600.7670406250339,0.2541922490653371,596.3120362089203,0.42595863642800347
593.8097464348928,0.2746394260167394,601.051684428215,0.23075474375448257,596.7238429866911,0.47258981132455014
594.2492823257039,0.24824696167900306,601.2544949589579,0.2061696907205628,597.083833184567,0.5081149920776455
594.5619682961798,0.2294935951277226,601.6431283493804,0.18168604250632114,597.46209010893,0.5627450036423067
594.9525856027442,0.2117539303753896,602.0346517720345,0.1539979329077652,597.8734775952437,0.602882402096672
595.5814465253192,0.1905969293547245,602.3740141553749,0.13385093170134055,598.1264849708427,0.6302679707091335
596.3976127548684,0.16851881784181244,602.7814165718803,0.11226956150128586,598.2684557508568,0.6526813869855712
597.3671660546279,0.1478130952756176,603.1076282604283,0.09949205122492577,598.6402991034437,0.67393147958114
598.4902039678017,0.12999046202707887,604.0051744709124,0.07154113527613437,599.13921858406,0.6847648875857628
599.6135502159769,0.11694316711383079,605.1285227565436,0.058525395462018404,599.5461376747783,0.6556980092565249
600.7370390860691,0.10610472913981472,606.2521776792963,0.05025869806725036,599.7488627597119,0.6297896142527619
601.8606756717181,0.09755403585285971,607.3760580319973,0.0454833469978595,599.9659951686974,0.6008994256503863
602.9842755831601,0.08843535078153097,608.4998226863066,0.038916117084908386,600.052119741787,0.5780624022697893
604.1388947428171,0.08488530025639651,609.6238165059001,0.03589808451240972,600.2320471377614,0.5508095937215168
605.2319776389371,0.07797631257488136,610.7479515891066,0.03506787214638796,600.4955330644525,0.5206474759905185
606.3558052360822,0.07238390983154042,611.8720618832657,0.03385373940759484,600.68551691856,0.49526009031017415
607.4797499869447,0.0686059252882818,612.9960499300673,0.03074630072088902,600.8625648374564,0.46737822979245813
608.6036514418682,0.0641573948884715,614.1202009733456,0.03016326996473362,601.1159536842363,0.4347215594045899
609.7276038331906,0.060497741966957674,615.2442297692663,0.027686933260665736,601.3017446237725,0.4103466832173075
610.8516020672721,0.057548078775911504,616.3683808125445,0.027103902504510113,601.521765247854,0.3885018551055811
611.9756053949934,0.054677303332694605,617.4924605448642,0.02541644327873893,601.7249063039462,0.3690358134194882
613.0996240036344,0.05204319113296729,618.6165759326632,0.02428119828777553,602.0081139890478,0.3459679518375144
614.2236731741148,0.049882405420217824,619.5363192070694,0.023545995039842227,602.1991497404316,0.3274503575217329
615.3476272633171,0.04624904841464739,,,602.4534420715875,0.30878640140515745
616.4717256723164,0.04485084426425168,,,602.7670468679975,0.2854204161042637
617.5958003109962,0.04308449729065078,,,603.0974209881074,0.25796823594670004
618.7198545751164,0.041002599325731026,,,603.3149212609787,0.2347753392753823
619.5782072640865,0.03916464850934642,,,603.6959175206204,0.20621123660524565
,,,,603.9306288473451,0.18326104944419308
,,,,604.2665437779934,0.1624818438004466
,,,,604.6663951462323,0.13701122599771254
,,,,604.9280554274922,0.11940078469129545
,,,,605.4171783670998,0.0972207568723662
,,,,605.947802133901,0.08466216062682097
,,,,606.6616044538274,0.060029572790370356
,,,,607.7846348963294,0.04209123751168109
,,,,609.1531629913493,0.02756201810936032
,,,,610.2361884955023,0.023169829733806768
,,,,611.3601205122651,0.01919462582097431
,,,,612.4841442145461,0.01663940136907649
,,,,613.6081933850263,0.01447861565632702
,,,,614.7321916191078,0.011528952465280629
,,,,615.8563375687461,0.010867033961295514
,,,,616.9803816455866,0.00862736050071633
,,,,618.1045275952249,0.007965441996731437
,,,,619.2287142939823,0.007934625475383816
